a2ps	4.14	Any-to-PostScriptフィルター
entr	3.2	ファイルが変更されたときに任意のコマンドを実行する
envchain	v0.2.0	環境変数でクレデンシャルを保護する
envv	v1.7	シェルに依存しない環境変数の処理
eot-utils	1.1	フォントをOTF/TTFからEOT形式に変換するためのツール
epeg	v0.9.1.042	JPEG/JPGサムネイルスケーリング
epic5	1.2.0	強化されたプログラム可能なIRCクライアント
eprover	1.8	平等な完全な一階述語論理の定理証明者
epsilon	0.9.2	強力なウェーブレット画像コンプレッサー
epstool	3.08	プレビュー画像を編集し、EPSファイルのバウンディングボックスを修正します
epubcheck	3.0.1	IDPFEPUBファイルバージョン2.0以降を検証する
erlang	18.1	Erlangプログラミング言語
es	0.9	ファーストクラス関数、字句スコープなどを備えた拡張可能なシェル
esniper	2.31	コマンドラインからのeBayオークションのスナイプ
esound	0.2.41	啓発されたサウンドデーモン
espeak	1.48.04	テキスト読み上げ、ソフトウェア音声シンセサイザー
etcd	v2.1.2	共有構成とサービス検出のためのKeyValueストア
etl	0.04.18	拡張可能なテンプレートライブラリ
ettercap	v0.8.2	スイッチドLAN用の多目的スニファー/インターセプター/ロガー
euca2ools	v3.2.1	EucalyptusクライアントAPIツール-AmazonEC2およびIAMで動作します
euler-py	v1.2.3	Pythonで記述されたProjectEulerコマンドラインツール
evas	1.7.10	シーングラフを実装するディスプレイキャンバスAPI
evas-generic-loaders	1.14.0	Enlightenmentの複雑な画像タイプ用の追加の画像ローダー
eventlog	0.2.13	メッセージに構造を提供するsyslogAPIの代替
evince	3.18.0	GNOMEドキュメントビューア
ex-vi	050325	UTF8対応バージョンの伝統vi
exact-image	0.9.1	画像処理ライブラリ
exempi	2.2.2	XMPメタデータを解析するためのライブラリ
exenv	v0.1.0	Elixirバージョン管理ツール
exercism	v2.2.1	exercism.ioと対話するためのコマンドラインツール
exif	0.6.21	コマンドラインでのEXIFデータの読み取り、書き込み、変更、および表示
exiftags	1.01	デジタルカメラのJPEGファイルからEXIFタグを読み取るユーティリティ
exiftool	10.01	EXIFメタデータを読み書きするためのPerlライブラリ
exim	4.85	sendmailの完全な置き換え
exiv2	0.25	EXIFおよびIPTCメタデータ操作ライブラリとツール
exodriver	v2.5.3	LabJackデバイスへのシンインターフェース
expat	2.1.0	XML1.0パーサー
extract_url	Perl	電子メールまたはプレーンテキストからURLを抽出するスクリプト。
eye-d3	0.7.8	.mp3ファイルのID3メタデータを操作する
ezlupdate	v2015.01.3	eZpublish用の.tsファイルを作成します
ezstream	0.6.0	Icecastストリーミングサーバーのクライアント
f3	v5.0	さまざまなフラッシュカードをテストする
faac	1.28	ISOAACオーディオエンコーダ
faad2	2.7	ISOAACオーディオデコーダー
fabric	1.10.2	SSH用のライブラリとコマンドラインツール
fail2ban	0.8.14	ログファイルをスキャンし、悪意のある兆候を示すIPを禁止する
fakeroot	1.20.2	偽のルート環境を提供する
falcon	0.9.6.8	マルチパラダイムプログラミング言語とスクリプトエンジン
fantom	1.0.67	オブジェクト指向のポータブルプログラミング言語
fasd	1.0.1	ファイルとディレクトリにすばやくアクセスするためのCLIツール
fastbit	2.0.2	NoSQL精神のオープンソースデータ処理ライブラリ
fastjar	0.94	Sunのjarツールの実装
fatsort	1.3.365	FAT16およびFAT32パーティションを並べ替えます
fb-adb	1.4.4	adbの機能の多くを実行するAndroidデバイス用のシェル
fb-client	1.5.0	http://paste.xinu.atのシェルスクリプトクライアント
fbida	2.10	写真画像の表示と編集
fcgi	2.4.0	対話型プログラムをWebサーバーとインターフェースするためのプロトコル
fcgiwrap	1.1.0	NginxのCGIサポート
fcrackzip	1.0	Zipパスワードクラッカー
fdclone	3.01b	コンソールベースのファイルマネージャー
fdk-aac	0.1.4	AndroidのフラウンホーファーFDKAACコードのスタンドアロンライブラリ
fdk-aac-encoder	0.6.2	libfdk-aacのコマンドラインエンコーダフロントエンド
fdupes	1.51	重複ファイルを特定または削除する
fetch-crl	3.0.16	証明書失効リスト（CRL）を取得する
fetchmail	6.3.26	POP、IMAP、ETRN、またはODMR対応サーバーからメールをフェッチする
fex	2.0.0	強力なフィールド抽出ツール
ffe	0.3.5	フラットファイル構造を解析し、さまざまな形式で印刷します
ffind	v0.3.2	よりフレンドリーな検索
ffmbc	0.7.2	放送および業務用にカスタマイズされたFFmpeg
ffmpeg	2.8	オーディオとビデオの再生、録音、変換、ストリーミング
ffmpeg2theora	0.29	ビデオファイルをOggTheora形式に変換します
ffmpegthumbnailer	2.0.10	ビデオファイルのサムネイルを作成する
ffms2	2.21	Libav/ffmpegベースのソースライブラリとAvisynthプラグイン
ffts	0.7	離散フーリエ変換を計算するCライブラリ
fftw	3.3.4	離散フーリエ変換を計算するためのCルーチン
fibjs	0.1.6	ファイバー上のJavaScript
ficy	1.0.19	Icecast/Shoutcastストリームグラバースイート
figlet	2.2.5	バナーのようなプログラムは、文字列をASCIIアートとして印刷します
file-roller	3.16.4	GNOMEアーカイブマネージャー
finatra	1.5.3	Sinatraに触発されたScalaWebフレームワーク
findbugs	3.0.1	静的分析を通じてJavaプログラムのバグを見つける
findutils	4.4.2	GNU find、xargs、およびlocateのコレクション
fio	2.2.9	I/Oベンチマークとストレステスト
fish	2.7.1	UNIXライクなオペレーティングシステム用のユーザーフレンドリーなコマンドラインシェル
fits	0.8.6-1	ファイル情報ツールセット
fizsh	1.0.8	ZSH用の魚のようなフロントエンド
flac	1.3.1	無料のロスレスオーディオコーデック
flac123	123-0.0.12	FLACオーディオファイルを再生するためのコマンドラインプログラム
flactag	2.0.4	シングルアルバムのFLACファイルにMusicBrainzCUEシートのタグを付ける
flake	0.11	FLACオーディオエンコーダ
flashrom	0.9.8	フラッシュチップの識別、読み取り、書き込み、検証、および消去
flasm	1.62	Flashコマンドラインアセンブラおよび逆アセンブラ
flatbuffers	v1.1.0	Java、C＃、およびGoをサポートするC++用のシリアル化ライブラリ
flawfinder	1.31	コードを調べて、セキュリティ上の弱点の可能性を報告します
fleet-db	0.2.0	アジャイル開発用に最適化されたスキーマフリーデータベース
fleetctl	v0.11.5	分散型initシステム
flex	2.5.39	Fast Lexical Analyzer、スキャナー（トークンライザー）を生成します
flickcurl	1.26	FlickrAPIのライブラリ
flow	v0.16.0	JavaScriptの静的型チェッカー
flow-tools	0.68.5.1	NetFlowデータレポートの収集、送信、処理、および生成
flowgrind	0.7.5	iperfまたはnetperfに似たTCP測定ツール
fltk	1.3.3	クロスプラットフォームのC++ GUIツールキット
fluid-synth	1.1.6	SoundFont2仕様に基づくリアルタイムソフトウェアシンセサイザー
flvmeta	v1.1.2	Adobe Flashビデオファイル（FLV）を操作する
flvstreamer	2.1c1	フラッシュおよびRTMPサーバーからオーディオとビデオをストリーミング
flyway	3.2.1	移行を制御するためのデータベースバージョン管理
fmdiff	20150915	SubversionとMercurialのdiffコマンドとしてFileMergeを使用します
fobis	1.7.4	最新のFortranプロジェクトを自動的にビルドするためのKISSビルドツール。
folly	v0.48.0	Facebookで開発された再利用可能なC++ライブラリアーティファクトのコレクション
fon-flash-cli	1.8.0	Flash LaFoneraおよびAtherosチップセット互換デバイス
fondu	060102	異なるフォント形式間で変換するためのツール
fontconfig	2.11.1	XWindows用のXMLベースのフォント構成API
fontforge	20150824	コマンドラインアウトラインとビットマップフォントエディタ/コンバータ
fonttools	3.0	FontToolsは、フォントを操作するためのライブラリです
fop	2.0	PDFまたはPSドキュメントを作成するためのXSL-FO印刷フォーマッター
ford	4.2.3	最新のFortranプログラム用の自動ドキュメントジェネレータ
forego	v0.16.1	囲碁の職長
foremost	1.5.7	ヘッダーとフッターに基づいてファイルを回復するためのコンソールプログラム
fortune	9708	悪名高い電子フォーチュンクッキージェネレーター
fossil	1.33	分散ソフトウェア構成管理
fourstore	v1.1.5	効率的で安定したRDFデータベース
fpc	2.6.4	Free Pascal：マルチアーキテクチャPascalコンパイラ
fping	3.10	複数のホストが稼働しているかどうかを確認するためのスクリプト可能なpingプログラム
fpp	0.6.2	パイプ入力を受け入れ、選択のためにファイルを提示するCLIプログラム
fq	v0.9.2	パフォーマンスのために最適化された仲介メッセージキュー
frag_find	1.0.0	ハッシュベースのカーバーツール（以前の「NPSブルームフィルターパッケージ」）
fragroute	1.2	指定されたホストの出力トラフィックを傍受、変更、および書き換えます
freealut	1.1.0	OpenALのALUT標準の実装
freediameter	1.2.0	オープンソースのDiameter（認証）プロトコルの実装
freeimage	3.17.0	Library forFreeImage、依存関係のないグラフィックライブラリ
freeipmi	1.4.9	帯域内および帯域外IPMI（v1.5/2.0）ソフトウェア
freeling	3.1	言語アナライザーのスイート
freeradius-server	3.0.9	高性能で高度に構成可能なRADIUSサーバー
freeswitch	v1.4.21	さまざまな通信プロトコルをルーティングするためのテレフォニープラットフォーム
freetds	0.95.19	Microsoft SQLServerおよびSybaseデータベースと通信するためのライブラリ
freetype	2.6	フォントをレンダリングするためのソフトウェアライブラリ
freexl	1.0.2	Excelの.xlsファイルからデータを抽出するためのライブラリ
frege	3.22.524-gcc99d7e	Haskellの精神に基づく非厳密で関数型プログラミング言語
frei0r	1.4	ビデオエフェクト用の最小限のプラグインAPI
frescobaldi	2.18.1	LilyPond楽譜テキストエディタ
fribidi	0.19.7	UnicodeBiDiアルゴリズムの実装
fsevent_watch	v0.1	OS XFSEventsクライアント
fsh	1.2	リモートコマンド実行を提供します
fsharp	v3.1.2.4	F＃、機能優先のプログラミング言語
fsw	1.3.9	複数のバックエンドを備えたファイル変更モニター
fswatch	1.5.1	ディレクトリの変更を監視し、シェルコマンドを実行します
ftgl	2.1.3rc5	Freetype/OpenGLブリッジ
ftimes	3.11.0	システムベースラインおよび証拠収集ツール
ftjam	2.5.2	Makeの代わりに使用できるビルドツール
fugu	v1.1.1	Dockerコマンドラッパー。
funcoeszz	15.5	数十のコマンドラインミニアプリケーション（ポルトガル語）
fuseki	1.1.2	SPARQLサーバー
fuzzy-find	v0.6	ディレクトリとファイル間で一致するファジーファイル名ファインダー
fwknop	2.6.7	シングルパケット認証とポートノッキング
fzf	0.10.5	シェル用のあいまい検索ツール
g2	v1.1	フレンドリーなgitクライアント
gabedit	2.4.8	Gamess-US、Gaussianなどの計算化学パッケージへのGUI。
gaffitter	1.0.0	ファイル/フォルダを固定サイズのボリューム（DVDなど）に効率的に適合させる
galen	2.1.2	レスポンシブウェブサイトのルックアンドフィールの自動テスト
gambit-scheme	v4_7_9	スキームの完全でポータブルな実装
game-music-emu	0.6.0	ビデオゲーム音楽ファイルエミュレータコレクション
gammaray	2.3.0	実行時にQtアプリケーションの内部を調べて操作する
gammu	1.36.5	電話を制御するためのコマンドラインユーティリティ
ganglia	3.7.1	ガングリアモニタリングクライアント
garmintools	0.10	Garmin ForerunnerGPSユニットへのインターフェース
gauche	0.9.4	便利なスクリプトインタープリターとして開発されたR5RSスキームの実装
gauge	v0.1.8	実行可能ドキュメントをサポートするテスト自動化ツール
gaul	0.1850-0	遺伝的アルゴリズムユーティリティライブラリ
gawk	4.1.3	GNUawkユーティリティ
gbdfed	1.6	ビットマップフォントエディタ
gcab	0.4	Windowsインストーラー（.MSI）ツール
gcal	4	Gcalはカレンダーを計算して印刷するためのプログラムです
gcc	7.3.0	GNUコンパイラコレクション
gcc44	4.4.7	GNUコンパイラコレクション
gcc45	4.5.4	GNUコンパイラコレクション
gcc46	4.6.4	GNUコンパイラコレクション
gcc47	4.7.4	GNUコンパイラコレクション
gcc48	4.8.5	GNUコンパイラコレクション
gcc49	4.9.3	GNUコンパイラコレクション
gcc5	5.4.0	GNUコンパイラコレクション
gcc6	6.2.0	GNUコンパイラコレクション
gconf	3.2.6	GConfは、ユーザーアプリケーションの設定を保存するためのシステムです
gcore	1.3	実行中のプロセスのスナップショット（コアダンプ）を作成します
gcovr	3.2	gcovテストカバレッジプログラムからのレポート
gcutil	1.16.1	Google ComputeEngineリソースを管理する
gd	2.1.1	画像を動的に操作するグラフィックライブラリ
gdal	1.11.2	GDAL：地理空間データ抽象化ライブラリ
gdal-grass	1.4.3	地理空間データ抽象化ライブラリ
gdbm	1.11	GNUデータベースマネージャー
gdk-pixbuf	2.32.1	画像の読み込みとピクセルバッファ操作のためのツールキット
gdl	3.18.0	GNOMEドッキングライブラリはGTK+ 3のドッキング機能を提供します
gdmap	0.8.1	フォルダの使用スペースを検査するツール
gdnsd	2.2.1	権限のみのDNSサーバー
gdrive	1.6.1	GoogleドライブCLIクライアント
gearman	1.1.12	他のマシンまたはプロセスに作業をファームアウトするためのアプリケーションフレームワーク
gecode	4.4.0	制約ベースのシステムとアプリケーションを開発するためのツールキット
gedit	3.16.3	GNOMEテキストエディタ
gegl	0.3.0	グラフベースの画像処理フレームワーク
genders	1.20	クラスター管理用の静的クラスター構成データベース
gengetopt	2.22.6	getopt_longを介してコマンドライン引数を解析するCコードを生成します
genstats	1.2	stdinまたはtextfilesに関する統計を生成します
geocode-glib	3.18.0	ジオコーディングおよび逆ジオコーディング用のGNOMEライブラリ
geocouch	1.3.0	CouchDBの空間インデックス
geogit	0.10.0	地理空間データの分散バージョン管理
geographiclib	1.45	C++地理ライブラリ
geoip	v1.6.6	さまざまな形式のGeoIPデータベース
geoipupdate	2.2.1	GeoIP2およびGeoIPレガシーデータベースの自動更新
geos	3.4.2	GEOSジオメトリエンジン
geoserver	2.7.1.1	地理空間データを共有および編集するためのJavaサーバー
get-flash-videos	1.24	さまざまなFlashベースのWebサイトからビデオをダウンロードまたは再生します
getdns	0.3.1	最新の非同期DNSAPI
getmail	4.48.0	POP3、IMAP4、SSLをサポートする拡張可能なメール検索システム
gettext	0.19.8.1	GNU国際化（i18n）およびローカリゼーション（l10n）ライブラリ
getxbook	1.2	さまざまなソースから電子書籍をダウンロードするためのツール
gexiv2	0.10.3	Exiv2写真メタデータライブラリのGOb​​jectラッパー
gflags	v2.1.2	コマンドラインフラグを処理するためのライブラリ
gforth	0.7.3	ANSForth言語の実装
gh	v2.1.0	GitHubコマンドラインクライアント
ghc	7.10.2	Glorious GlasgowHaskellコンパイルシステム
ghex	3.10.1	GNOME16進エディター
ghi	0.9.3	コマンドラインでGitHubの問題に取り組む
ghostscript	9.19	PostScriptとPDFのインタプリタ
ghq	v0.7.1	リモートリポジトリ管理が簡単に
gibbslda	0.2	ライブラリラッピングimlib2のコンテキストAPI
gibo	1.0.4	GitHubの.gitignoreボイラープレートにアクセスする
gif2png	2.5.10	GIFをPNGに変換します。
gifify	v3.0	映画をGIFに変える
giflib	4.2.3	特許取得済みのLZWアルゴリズムを使用したGIFライブラリ
giflossy	1.82.1	非可逆LZW圧縮、GIFファイルサイズを30〜50％削減
gifsicle	1.88	GIF画像/アニメーションの作成者/編集者
gimme	v0.2.4	Goバージョンをインストールするためのシェルスクリプト
ginac	1.6.4	GiNaCは数式処理システムではありません
gist	v4.4.2	要旨をアップロードするためのコマンドラインユーティリティ
gistit	v0.1.3	要旨を作成するためのコマンドラインユーティリティ
git	2.10.2	分散型リビジョン管理システム
git-annex	5.20150916	ファイルの内容をチェックインせずにgitでファイルを管理する
git-archive-all	1.12	プロジェクトとそのサブモジュールをアーカイブする
git-cal	v0.9.1	GitHubのような投稿カレンダーですが、コマンドラインにあります
git-cola	v2.3	高度にカフェイン化されたgitGUI
git-crypt	0.5.0	gitリポジトリ内のファイルの透過的な暗号化/復号化を有効にする
git-encrypt	0.3.2	透過的なgit暗号化
git-extras	3.0.0	小さなgitユーティリティ
git-fixup	v1.0.1	gitcommitのエイリアス--fixup <ref>
git-flow	0.4.1	VincentDriessenの分岐モデルに従うための拡張
git-flow-avh	1.8.0	git-flowのAVHエディション
git-ftp	1.0.2	Gitを利用したFTPクライアント
git-gerrit	v0.3.0	Gerritコードレビューヘルパースクリプト
git-hooks	1.00.0	プロジェクト、ユーザー、グローバルGitフックを管理する
git-imerge	0.7.0	gitのインクリメンタルマージ
git-integration	v0.3	git統合ブランチを管理する
git-lfs	v0.6.0	大きなファイルをバージョン管理するためのGit拡張機能
git-multipush	2.3	1つのコマンドで複数のリモートにブランチをプッシュする
git-now	v0.1.1.0	gitの軽量で一時的なコミット
git-number	1.0.0a	gitでファイルを処理するために数字を使用する
git-octopus	v1.1	ブランチの命名パターンでgit-mergeを拡張します
git-open	v1.1	ターミナルからGitHubWebページを開きます
git-plus	v0.1.0	3つのgitユーティリティ：git multi、git Relation、git old-branches
git-review	1.25.0	レビューのためにgitブランチをgerritに送信します
git-sh	1.3	git作業用にカスタマイズされたBash環境
git-ssh	v0.2.0	SSH経由でgitリポジトリを提供するためのプロキシ
git-stree	0.4.5	Gitサブツリーヘルパーコマンド
git-subrepo	0.2.3	Gitサブモジュールの代替
git-test	v1.0.1	リビジョンリスト内の個別のツリーごとにテストを実行します
git-tf	2.0.3.20131219	TFSとgitの間で変更を共有する
git-town	v0.7.3	Gitの高レベルのコマンドラインインターフェイス
git-tracker	v1.6.3	PivotalTrackerをgitの使用に統合する
git-url-sub	1.0.1	複数のリポジトリの代わりにリモートURLを再帰的に使用する
gitbucket	3.6	GitHubクローン
giter8	0.6.8	gitリポジトリのテンプレートからファイルとディレクトリを生成する
github-release	v0.5.3	Githubでリリースを作成および編集します（およびアーティファクトをアップロードします）
gitslave	2.0.2	スーパープロジェクトとして1つを使用して、関連するリポジトリのグループを作成します
gitup	v0.3	複数のgitリポジトリを一度に更新する
gjstest	v1.0.1	V8エンジンで実行される高速JavaScriptユニットテストフレームワーク。
gl2ps	1.3.8	OpenGLからPostScriptへの印刷ライブラリ
glassfish	4.1	JavaEEアプリケーションサーバー
glbinding	v1.0.4	OpenGLAPIのC++バインディング
glew	1.12.0	OpenGL拡張ラングラーライブラリ
glib	2.50.1	C用のコアアプリケーションライブラリ
glib-networking	2.46.0	glibのネットワーク関連モジュール
glibmm	2.44.0	glibへのC++インターフェース
glide	0.6.1	簡素化されたGoプロジェクト管理、依存関係管理、およびベンダー
glm	0.9.7.1	グラフィックソフトウェア用のC++数学ライブラリ
global	6.5.1	ソースコードタグシステム
globe	0.0.20140814	現在点灯している地球の側面のASCIIグラフィックを印刷します
globus-toolkit	6.0	グリッドの構築に使用されるツールキット
glog	v0.3.4	アプリケーションレベルのロギングライブラリ
gloox	1.0.12	低レベルプロトコルを処理するC++ Jabber/XMPPライブラリ
glui	2.36	C++ユーザーインターフェイスライブラリ
gmail-backup	20110307	Gmailアカウントのコンテンツをバックアップおよび復元する
gmediaserver	0.13.0	UPnPメディアサーバー
gmime	2.6.20	MIMEメールユーティリティ
gmp	6.1.2	GNU多精度算術ライブラリ
gmp4	4.3.2	GNU多精度算術ライブラリ
gmtl	0.6.1	軽量数学ライブラリ
gnatsd	v0.6.0	軽量クラウドメッセージングシステム
gnome-common	3.14.0	GNOMEのコアファイル
gnome-doc-utils	0.20.10	GNOMEプロジェクトのドキュメントユーティリティ
gnome-icon-theme	3.16.2.1	GNOMEプロジェクトのアイコン
gnome-themes-standard	3.16.2	GNOMEデスクトップ環境のデフォルトテーマ
gnu-apl	1.4	プログラミング言語APLのGNU実装
gnu-barcode	0.99	テキスト文字列を印刷されたバーに変換する
gnu-cobol	1.1	COBOL85およびCOBOL2002標準の多くを実装します
gnu-getopt	1.1.6	コマンドラインオプション解析ライブラリ
gnu-indent	2.2.10	Cコードプリティファイア
gnu-prolog	1.4.4	制約解決を備えたPrologコンパイラ
gnu-sed	4.2.2	有名なストリームエディタのGNU実装
gnu-smalltalk	3.2.5	GNUSmalltalkインタープリターと画像
gnu-tar	1.28	tarアーカイブユーティリティのGNUバージョン
gnu-time	1.7	時間ユーティリティのGNU実装
gnu-typist	2.9.5	GNUタイピングチューター
gnu-units	2.02	GNU単位変換ツール
gnu-which	2.21	どのユーティリティのGNU実装
gnupg	1.4.19	GNU Pretty Good Privacy（PGP）パッケージ
gnupg-pkcs11-scd	0.7.3	GnuPGでPKCS＃11トークンの使用を有効にする
gnupg2	2.0.29	GNU Privacy Guard：無料のPGP代替品
gnuplot	5.0.1	コマンド駆動型のインタラクティブな関数プロット
gnuradio	3.7.8	信号処理ランタイムと処理ブロックを提供するSDK
gnustep-make	2.6.6	基本的なGNUstepMakefile
gnutls	3.3.18	GNUトランスポート層セキュリティ（TLS）ライブラリ
go	1.5.1	プログラミング環境に行く
goaccess	0.9.4	ApacheWebサーバー用のログアナライザーとインタラクティブビューアー
gobject-introspection	1.44.0	GObjectライブラリのインターフェイスイントロスペクションデータを生成します
gocr	0.50	光学式文字認識（OCR）、画像をテキストに変換します
goffice	0.10.23	数値スプレッドシートプログラム
gollum	v0.3.2	Goで記述されたn：mメッセージマルチプレクサ
golo	2.1.0	JVM用の軽量動的言語
goocanvas	2.0.2	描画にCairo2Dライブラリを使用するGTK+用のキャンバスウィジェット
google-benchmark	v0.1.0	C++マイクロベンチマークサポートライブラリ
google-sparsehash	2.0.2	非常にメモリ効率の高いhash_mapの実装
google-sql-tool	r10	一般的なSQLステートメントを実行するためのコマンドラインツール
goolabs	0.2.2	日本語を形態学的に分析するためのコマンドラインツール
gor	0.9.8	Goで記述されたリアルタイムHTTPトラフィック再生ツール
gost	1.1.1	GithubのGistsを簡単に作成するためのシンプルなコマンドラインユーティリティ。
gosu	0.10.3	JVMの語用論言語
gotags	v1.3.0	Go用のctags互換のタグジェネレータ
gource	0.43	バージョン管理視覚化ツール
gpac	v0.5.2	研究および学術目的のマルチメディアフレームワーク
gperftools	2.4	マルチスレッドのmalloc（）およびパフォーマンス分析ツール
gpg-agent	2.0.29	GPGキーエージェント
gpgme	1.6.0	GnuPGへのライブラリアクセス
gphoto2	2.5.1	libgphoto2へのコマンドラインインターフェイス
gplcver	2.12a	実用的なCソフトウェアGPLCver 2001
gpm	v1.3.2	GoのBarebones依存関係マネージャー
gpp	2.24	カスタマイズ可能な構文を備えた汎用プリプロセッサ
gprof2dot	2015.02.03.	多くのプロファイラーからの出力をGraphvizドットグラフに変換します。
gpsbabel	1.5.2	GPSBabelは、GPSウェイポイント、トラック、ルートを変換/アップロードします
gpsd	3.9	全地球測位システム（GPS）デーモン
gpsim	0.28.1	マイクロチップのPICマイクロコントローラー用のシミュレーター
gptfdisk	1.0.0	テキストモードのパーティション分割ツール
gptsync	0.14	GPTおよびMBRパーティションテーブル同期ツール
gputils	1.4.0-1	GNUPICユーティリティ
gqlplus	1.15	OracleSQLクライアントであるsqlplusのドロップイン置換
gqview	2.0.4	GQview画像ブラウザ
gradle	2.7	Groovy言語に基づいてシステムを構築する
grails	3.0.7	Groovy言語用のWebアプリケーションフレームワーク
grap	1.45	グラフを植字するための言語
graphene	1.2.10	グラフィックデータ型の薄層
graphicsmagick	1.3.21	画像処理ツールコレクション
graphite2	1.3.2	ローマ字以外のスクリプト用のスマートフォントレンダラー
graphviz	2.38.0	AT＆Tおよびベル研究所のグラフ視覚化ソフトウェア
grass	6.4.4	地理資源分析サポートシステム
grc	1.9	ログファイルとコマンド出力の色付け
grep	3.0	GNU grep、egrep、fgrep
grepcidr	2.0	IPv4 CIDR /ネットワーク仕様に一致するIPアドレスをフィルタリングする
grib-api	1.14.0	gribメッセージのエンコードとデコード（エディション1および2）
griffon	1.5.0	JVM内のデスクトップアプリケーション用のアプリケーションフレームワーク
gringo	4.5.2	ユーザー提供の論理プログラムを翻訳するためのグラウンダー
grip	4.5.2	GitHubMarkdownプレビューア
grok	v0.9.2	強力なパターンマッチング/反応も
groonga	5.0.8	全文検索エンジンと列ストア
groonga-normalizer-mysql	1.1.0	Groonga用のMySQL互換ノーマライザープラグイン
groovy	2.4.4	Groovy：Javaベースのスクリプト言語
groovysdk	2.4.4	SDK for Groovy：Javaベースのスクリプト言語
groovyserv	1.0.0	Groovyの起動時間を短縮する
growly	v0.2.0	コマンド出力をgrowl通知にリダイレクトします
grsync	1.2.5	rsyncのGUI
gsasl	1.8.0	SASLライブラリのコマンドラインインターフェイス
gsettings-desktop-schemas	3.18.0	デスクトップコンポーネントのGSettingsスキーマ
gsl	1.16	CおよびC++用の数値ライブラリ
gsoap	2.8.18	CおよびC++用のSOAPスタブおよびスケルトンコンパイラ
gssdp	0.14.11	SSDPを介したリソースの検出とアナウンスのためのGUPnPライブラリ
gssh	1.1.5	GroovyDSLに基づくSSH自動化ツール
gst-libav	1.6.0	Libav用のGStreamerプラグイン（FFmpegのフォーク）
gst-plugins-bad	1.6.0	GStreamerプラグイン（サポートが少ない、ドキュメントがない、完全にテストされていない）
gst-plugins-base	1.6.0	GStreamerプラグイン（十分にサポートされた基本セット）
gst-plugins-good	1.6.0	GStreamerプラグイン（十分にサポートされている、LGPLの下で）
gst-plugins-ugly	1.6.0	GStreamerプラグイン（十分にサポートされており、ディストリビューターにとって問題になる可能性があります）
gst-python	1.6.0	GStreamerPythonはgobject-introspectionベースのpygstバインディングをオーバーライドします
gst-validate	1.6.0	GStreamerからGstElementsを検証するためのツール
gstreamer	1.6.0	GStreamerは、マルチメディアアプリケーションの開発フレームワークです
gstreamermm	1.4.3	GStreamer C++バインディング
gti	v1.2.0	コマンドのタイプミスコレクターを表示するASCIIアート
gtk+	2.24.28	GUIツールキット
gtk+3	3.16.7	グラフィカルユーザーインターフェイスを作成するためのツールキット
gtk-doc	1.24	GTK+ドキュメントツール
gtk-engines	2.20.2	GTK+のテーマ
gtk-gnutella	1.1.3	ピアツーピア（P2P）ネットワークでファイルを共有する
gtk-mac-integration	2.0.8	GTK OSXアプリケーションをMacデスクトップと統合するためのAPI
gtk-murrine-engine	0.98.2	Murrine GTK+エンジン
gtkdatabox	0.9.2.0	大量の変化するデータをライブ表示するためのウィジェット
gtkextra	3.1.5	GTK+用のGUIを作成するためのウィジェット
gtkglext	1.2.0	GTK+へのOpenGL拡張
gtkmm	2.24.4	GTK+およびGNOME用のC++インターフェース
gtkmm3	3.16.0	GTK+およびGNOME用のC++インターフェース
gtksourceview	2.10.5	構文、元に戻る/やり直し、およびテキストマークを含むテキストビュー
gtksourceview3	3.18.0	構文、元に戻る/やり直し、およびテキストマークを含むテキストビュー
gtkspell3	3.0.7	スペルミスのある単語を強調表示して置き換えるためのGtkウィジェット
gtmess	0.97	コンソールMSNメッセンジャークライアント
gts	0.7.6	GNU三角測量サーフェスライブラリ
gucharmap	3.18.0	Unicode文字データベースに基づくGNOME文字マップ
guile	2.0.11	GUILE：拡張機能のためのGNUユビキタスインテリジェント言語
gumbo-parser	v0.9.3	HTML5を解析するためのC99ライブラリ
gupnp	0.20.14	UPnPデバイスとコントロールポイントを作成するためのフレームワーク
gupnp-av	0.12.7	UPnP A/Vプロファイルの実装に役立つライブラリ
gupnp-tools	0.8.10	IntelのUPnPツールの無料交換。
gvp	v0.2.0	バージョニングパッケージャーに行く
gwenhywfar	4.13.1	aqbankingおよび関連ソフトウェアに必要なユーティリティライブラリ
gws	0.1.7	gitリポジトリで構成されるワークスペースを管理する
gwt	2.7.0	GoogleWebツールキット
gwyddion	2.41	走査型プローブ顕微鏡の視覚化および分析ツール
gxml	0.6.0	GObjectベースのXMLDOM API
gzrt	0.8	Gzipリカバリツールキット
h2	1.4.187	JavaSQLデータベース
h264bitstream	0.1.9	H264ビデオストリームを読み書きするためのライブラリ
h2o	v1.4.5	HTTP /1.xおよびHTTP/2をサポートするHTTPサーバー
hachoir-metadata	1.3.3	ビデオ、音楽、その他のファイルからメタデータを抽出する
hackrf	v2015.07.2	低コストのソフトウェア無線プラットフォーム
hadoop	2.7.1	大規模なデータセットの分散処理のためのフレームワーク
halibut	1.1	さらに別の無料のドキュメント準備システム
hamlib	1.2.15.3	アマチュア無線制御ライブラリ
hamsterdb	2.1.10	組み込み機器用データベース
haproxy	1.5.14	信頼性の高い高性能TCP/HTTPロードバランサー
harbour	3.0.0	ポータブルでxBase互換のプログラミング言語と環境
hardlink	0.3.0	ハードリンクを使用してファイルコピーを置き換える
